city_id,temperature,humidity,sensation,windVelocity,pressure,date
3477,24,69,24,9,1016,"2021-03-26 09:00:00"
7644,27,74,29,4,1013,"2021-03-26 10:21:37"
3740,33,36,33,8,1013,"2021-03-26 10:21:37"
8909,26,46,27,11,1017,"2021-03-26 10:21:37"
4625,30,52,31,15,1015,"2021-03-26 10:21:37"
5799,29,44,29,13,1012,"2021-03-26 10:21:37"
3569,29,74,33,12,1013,"2021-03-26 10:21:37"
5975,27,61,28,3,1015,"2021-03-26 10:21:37"
3477,26,61,27,4,1015,"2021-03-26 10:00:00"
7644,29,65,32,4,1014,"2021-03-26 11:21:20"
3740,34,30,33,10,1013,"2021-03-26 11:16:39"
4625,30,49,31,18,1014,"2021-03-26 11:16:39"
8909,27,44,27,10,1016,"2021-03-26 11:16:39"
5799,28,36,27,16,1012,"2021-03-26 11:11:28"
3569,28,68,31,11,1013,"2021-03-26 11:21:20"
5975,29,57,31,2,1014,"2021-03-26 11:16:39"
3477,29,45,29,7,1015,"2021-03-26 12:00:00"
7644,30,58,32,6,1013,"2021-03-26 12:16:25"
3740,34,28,33,12,1012,"2021-03-26 12:21:06"
8909,28,42,28,10,1016,"2021-03-26 12:16:25"
4625,31,48,32,20,1014,"2021-03-26 12:21:06"
5799,30,33,29,19,1011,"2021-03-26 12:16:25"
3569,28,66,30,12,1012,"2021-03-26 12:21:06"
5975,31,53,33,1,1014,"2021-03-26 12:16:25"
3477,30,40,29,7,1014,"2021-03-26 13:00:00"
7644,31,53,33,8,1012,"2021-03-26 13:26:27"
3740,35,26,34,14,1011,"2021-03-26 13:15:59"
4625,31,49,32,22,1013,"2021-03-26 13:15:59"
8909,28,39,28,10,1016,"2021-03-26 13:15:59"
5799,28,36,27,21,1010,"2021-03-26 13:21:13"
3569,29,67,32,14,1011,"2021-03-26 13:15:59"
5975,32,50,34,1,1013,"2021-03-26 13:26:27"
3477,31,33,30,11,1013,"2021-03-26 14:00:00"
7644,32,54,36,10,1010,"2021-03-26 14:26:24"
3740,36,24,35,13,1010,"2021-03-26 14:21:28"
4625,31,43,31,22,1013,"2021-03-26 14:16:41"
8909,29,37,28,9,1015,"2021-03-26 14:21:28"
5799,28,43,28,20,1010,"2021-03-26 14:26:24"
3569,29,66,32,13,1010,"2021-03-26 14:16:41"
5975,32,52,35,4,1012,"2021-03-26 14:21:28"
3477,31,31,30,9,1012,"2021-03-26 15:00:00"
7644,32,54,36,11,1008,"2021-03-26 15:27:02"
3740,36,23,34,13,1009,"2021-03-26 15:11:39"
8909,29,39,28,9,1012,"2021-03-26 15:27:02"
4625,30,45,31,23,1013,"2021-03-26 15:27:02"
5799,27,40,27,21,1009,"2021-03-26 15:27:02"
3569,29,52,30,7,1008,"2021-03-26 15:27:02"
5975,33,50,36,5,1011,"2021-03-26 15:16:57"
